Client_ID,Industry,Loan_Amount_EUR,Self_Reported_Emissions_Tons,Audited_Emissions_Tons,Azure_Security_Flag,ESG_Risk_Rating,Emissions_Discrepancy_%,Predicted_Fraud_Probability_%
CLI-0001,Manufacturing,56266505.54,4581.0,4427.21,0,20.6,-3.36,0.0
CLI-0002,Agriculture,36082325.1,31494.82,32386.63,0,12.1,2.83,0.0
CLI-0003,Retail,43315795.31,49077.71,47225.02,0,13.5,-3.78,0.0
CLI-0004,Agriculture,55737465.96,10315.27,10454.43,0,21.4,1.35,0.0
CLI-0005,Agriculture,43898124.89,39837.16,50764.8,1,21.6,27.43,71.0
CLI-0006,Energy,13389647.36,45487.04,47349.41,0,28.8,4.09,4.0
CLI-0007,Retail,36695859.81,47241.38,45777.51,0,26.4,-3.1,2.0
CLI-0008,Retail,38369327.55,48046.64,49590.14,0,29.7,3.21,2.0
CLI-0009,Retail,28327186.92,26551.52,26670.02,0,15.2,0.45,1.0
CLI-0010,Agriculture,45504432.96,48888.09,46824.31,0,29.4,-4.22,3.0
CLI-0011,Manufacturing,56390185.81,38108.2,39843.83,0,18.6,4.55,3.0
CLI-0012,Retail,55906268.21,8921.9,8696.14,0,17.0,-2.53,0.0
CLI-0013,Agriculture,29796165.43,24368.11,25244.5,0,11.0,3.6,0.0
CLI-0014,Energy,11228092.52,36198.23,34999.38,0,11.1,-3.31,0.0
CLI-0015,Manufacturing,59166265.94,13119.68,13584.04,0,23.8,3.54,3.0
CLI-0016,Energy,51139394.75,32390.14,30813.48,0,19.2,-4.87,3.0
CLI-0017,Manufacturing,11856447.47,33663.42,33703.08,0,14.5,0.12,2.0
CLI-0018,Agriculture,55646303.54,8972.29,9214.04,0,22.3,2.69,3.0
CLI-0019,Logistics,52844299.91,28689.18,29936.57,0,15.1,4.35,0.0
CLI-0020,Manufacturing,33536093.14,38809.72,67743.19,1,34.7,74.55,100.0
CLI-0021,Energy,37520148.97,25445.89,26433.68,0,17.2,3.88,3.0
CLI-0022,Agriculture,26945148.71,1593.05,1545.13,0,26.5,-3.01,10.0
CLI-0023,Manufacturing,8011890.14,1442.88,1411.74,0,26.4,-2.16,7.0
CLI-0024,Logistics,23435848.29,18494.44,18104.15,0,19.5,-2.11,1.0
CLI-0025,Logistics,49156939.67,46383.51,45813.24,0,17.0,-1.23,0.0
CLI-0026,Retail,5254761.27,12205.16,12074.96,0,17.3,-1.07,1.0
CLI-0027,Retail,23342454.44,32083.82,32226.77,0,26.1,0.45,1.0
CLI-0028,Energy,26899278.15,11881.72,11477.6,0,16.6,-3.4,0.0
CLI-0029,Manufacturing,34556758.16,16761.83,17082.39,0,14.2,1.91,3.0
CLI-0030,Manufacturing,55592058.9,42554.06,41139.42,0,11.7,-3.32,0.0
CLI-0031,Retail,24049029.69,36714.21,36017.77,0,19.3,-1.9,1.0
CLI-0032,Manufacturing,24082426.1,5674.56,8523.23,1,32.6,50.2,100.0
CLI-0033,Manufacturing,45562568.65,22006.4,22533.39,0,26.8,2.39,4.0
CLI-0034,Logistics,29871986.75,2429.32,2464.67,0,14.4,1.46,3.0
CLI-0035,Retail,17353265.26,24563.62,31772.16,1,28.1,29.35,65.0
CLI-0036,Agriculture,29884173.39,33459.27,32078.9,0,26.2,-4.13,6.0
CLI-0037,Retail,12747136.12,6806.63,6723.16,0,26.5,-1.23,3.0
CLI-0038,Agriculture,14701284.26,15155.36,15024.29,0,17.7,-0.86,1.0
CLI-0039,Logistics,32410227.5,20493.99,19550.88,0,19.2,-4.6,0.0
CLI-0040,Energy,28040899.72,46057.02,45016.08,0,16.1,-2.26,2.0
CLI-0041,Manufacturing,55316524.56,49669.5,51932.69,0,28.7,4.56,1.0
CLI-0042,Logistics,24931664.45,3200.65,3345.84,0,12.4,4.54,1.0
